year,death
1987,38
1987,41
1987,0
1987,2
1987,5
1987,8
1987,11
1987,14
1987,17
1987,20
1987,23
1987,26
1987,29
1987,32
1987,35
1987,38
1987,41
1987,0
1987,2
1987,5
1987,8
1987,11
1987,14
1987,17
1987,20
1987,23
1987,26
1987,29
1987,32
1987,35
1987,38
1987,41
1988,0
1988,2
1988,5
1988,8
1988,11
1988,14
1988,17
1988,20
1988,23
1988,26
1988,29
1988,32
1988,35
1988,38
1988,41
1988,0
1988,2
1988,5
1988,8
1988,11
1988,14
1988,17
1988,20
1988,23
1988,26
1988,29
1988,32
1988,35
1988,38
1988,41
1988,0
1988,2
1988,5
1988,8
1988,11
1988,14
1988,17
1988,20
1988,23
1988,26
1988,29
1988,32
1988,35
1988,38
1988,41
1988,0
1988,2
1988,5
1988,8
1988,11
1988,14
1988,17
1988,20
1988,23
1988,26
1988,29
1988,32
1988,35
1988,38
1988,41
1989,0
1989,2
1989,5
1989,8
1989,11
1989,14
1989,17
1989,20
1989,23
1989,26
1989,29
1989,32
1989,35
1989,38
1989,41
1989,0
1989,2
1989,5
1989,8
1989,11
1989,14
1989,17
1989,20
1989,23
1989,26
1989,29
1989,32
1989,35
1989,38
1989,41
1989,0
1989,2
1989,5
1989,8
1989,11
1989,14
1989,17
1989,20
1989,23
1989,26
1989,29
1989,32
1989,35
1989,38
1989,41
1989,0
1989,2
1989,5
1989,8
1989,11
1989,14
1989,17
1989,20
1989,23
1989,26
1989,29
1989,32
1989,35
1989,38
1989,41
1990,0
1990,2
1990,5
1990,8
1990,11
1990,14
1990,17
1990,20
1990,23
1990,26
1990,29
1990,32
1990,35
1990,38
1990,41
1990,0
1990,2
1990,5
1990,8
1990,11
1990,14
1990,17
1990,20
1990,23
1990,26
1990,29
1990,32
1990,35
1990,38
1990,41
1990,0
1990,2
1990,5
1990,8
1990,11
1990,14
1990,17
1990,20
1990,23
1990,26
1990,29
1990,32
1990,35
1990,38
1990,41
1990,0
1990,2
1990,5
1990,8
1990,11
1990,14
1990,17
1990,20
1990,23
1990,26
1990,29
1990,32
1990,35
1990,38
1990,41
1991,0
1991,2
1991,5
1991,8
1991,11
1991,14
1991,17
1991,20
1991,23
1991,26
1991,29
1991,32
1991,35
1991,38
1991,41
1991,0
1991,2
1991,5
1991,8
1991,11
1991,14
1991,17
1991,20
1991,23
1991,26
1991,29
1991,32
1991,35
1991,38
1991,41
1991,0
1991,2
1991,5
1991,8
1991,11
1991,14
1991,17
1991,20
1991,23
1991,26
1991,29
1991,32
1991,35
1991,38
1991,41
1991,0
1991,2
1991,5
1991,8
1991,11
1991,14
1991,17
1991,20
1991,23
1991,26
1991,29
1991,32
1991,35
1991,38
1991,41
1992,0
1992,2
1992,5
1992,8
1992,11
1992,14
1992,17
1992,20
1992,23
1992,26
1992,29
1992,32
1992,35
1992,38
1992,41
1992,0
1992,2
1992,5
1992,8
1992,11
1992,14
1992,17
1992,20
1992,23
1992,26
1992,29
1992,32
1992,35
1992,38
1992,41
1992,0
1992,2
1992,5
1992,8
1992,11
1992,14
1992,17
1992,20
1992,23
1992,26
1992,29
1992,32
1992,35
1992,38
1992,41
1992,0
1992,2
1992,5
1992,8
1992,11
1992,14
1992,17
1992,20
1992,23
1992,26
1992,29
1992,32
1992,35
1992,38
1992,41
